,state,symptom
2014-09-01,10,False,NY,Purpura Thrombocytopenic Idiopathic
2014-10-01,13,False,NY,Purpura Thrombocytopenic Idiopathic
2014-11-01,9,False,NY,Purpura Thrombocytopenic Idiopathic
2014-12-01,40,False,NY,Purpura Thrombocytopenic Idiopathic
2015-01-01,12,False,NY,Purpura Thrombocytopenic Idiopathic
2015-02-01,15,False,NY,Purpura Thrombocytopenic Idiopathic
2015-03-01,16,False,NY,Purpura Thrombocytopenic Idiopathic
2015-04-01,9,False,NY,Purpura Thrombocytopenic Idiopathic
2015-05-01,6,False,NY,Purpura Thrombocytopenic Idiopathic
2015-06-01,11,False,NY,Purpura Thrombocytopenic Idiopathic
2015-07-01,9,False,NY,Purpura Thrombocytopenic Idiopathic
2015-08-01,11,False,NY,Purpura Thrombocytopenic Idiopathic
2015-09-01,9,False,NY,Purpura Thrombocytopenic Idiopathic
2015-10-01,8,False,NY,Purpura Thrombocytopenic Idiopathic
2015-11-01,7,False,NY,Purpura Thrombocytopenic Idiopathic
2015-12-01,11,False,NY,Purpura Thrombocytopenic Idiopathic
2016-01-01,11,False,NY,Purpura Thrombocytopenic Idiopathic
2016-02-01,10,False,NY,Purpura Thrombocytopenic Idiopathic
2016-03-01,8,False,NY,Purpura Thrombocytopenic Idiopathic
2016-04-01,11,False,NY,Purpura Thrombocytopenic Idiopathic
2016-05-01,14,False,NY,Purpura Thrombocytopenic Idiopathic
2016-06-01,7,False,NY,Purpura Thrombocytopenic Idiopathic
2016-07-01,3,False,NY,Purpura Thrombocytopenic Idiopathic
2016-08-01,9,False,NY,Purpura Thrombocytopenic Idiopathic
2016-09-01,5,False,NY,Purpura Thrombocytopenic Idiopathic
2016-10-01,6,False,NY,Purpura Thrombocytopenic Idiopathic
2016-11-01,5,False,NY,Purpura Thrombocytopenic Idiopathic
2016-12-01,3,False,NY,Purpura Thrombocytopenic Idiopathic
2017-01-01,7,False,NY,Purpura Thrombocytopenic Idiopathic
2017-02-01,6,False,NY,Purpura Thrombocytopenic Idiopathic
2017-03-01,4,False,NY,Purpura Thrombocytopenic Idiopathic
2017-04-01,6,False,NY,Purpura Thrombocytopenic Idiopathic
2017-05-01,10,False,NY,Purpura Thrombocytopenic Idiopathic
2017-06-01,17,False,NY,Purpura Thrombocytopenic Idiopathic
2017-07-01,8,False,NY,Purpura Thrombocytopenic Idiopathic
2017-08-01,5,False,NY,Purpura Thrombocytopenic Idiopathic
2017-09-01,4,False,NY,Purpura Thrombocytopenic Idiopathic
2017-10-01,9,False,NY,Purpura Thrombocytopenic Idiopathic
2017-11-01,3,False,NY,Purpura Thrombocytopenic Idiopathic
2017-12-01,6,False,NY,Purpura Thrombocytopenic Idiopathic
2018-01-01,6,False,NY,Purpura Thrombocytopenic Idiopathic
2018-02-01,6,False,NY,Purpura Thrombocytopenic Idiopathic
2018-03-01,7,False,NY,Purpura Thrombocytopenic Idiopathic
2018-04-01,12,False,NY,Purpura Thrombocytopenic Idiopathic
2018-05-01,7,False,NY,Purpura Thrombocytopenic Idiopathic
2018-06-01,9,False,NY,Purpura Thrombocytopenic Idiopathic
2018-07-01,8,False,NY,Purpura Thrombocytopenic Idiopathic
2018-08-01,8,False,NY,Purpura Thrombocytopenic Idiopathic
2018-09-01,10,True,NY,Purpura Thrombocytopenic Idiopathic
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
date,Purpura Thrombocytopenic Idiopathic,isPartial,state,symptom
2004-01-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-02-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-03-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-04-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-05-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-06-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-07-01,100,False,PA,Purpura Thrombocytopenic Idiopathic
2004-08-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-09-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-10-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-11-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2004-12-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2005-01-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2005-02-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2005-03-01,58,False,PA,Purpura Thrombocytopenic Idiopathic
2005-04-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2005-05-01,60,False,PA,Purpura Thrombocytopenic Idiopathic
2005-06-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2005-07-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2005-08-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2005-09-01,52,False,PA,Purpura Thrombocytopenic Idiopathic
2005-10-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2005-11-01,49,False,PA,Purpura Thrombocytopenic Idiopathic
2005-12-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2006-01-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2006-02-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2006-03-01,37,False,PA,Purpura Thrombocytopenic Idiopathic
2006-04-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2006-05-01,38,False,PA,Purpura Thrombocytopenic Idiopathic
2006-06-01,42,False,PA,Purpura Thrombocytopenic Idiopathic
2006-07-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2006-08-01,37,False,PA,Purpura Thrombocytopenic Idiopathic
2006-09-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2006-10-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2006-11-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2006-12-01,31,False,PA,Purpura Thrombocytopenic Idiopathic
2007-01-01,27,False,PA,Purpura Thrombocytopenic Idiopathic
2007-02-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2007-03-01,26,False,PA,Purpura Thrombocytopenic Idiopathic
2007-04-01,26,False,PA,Purpura Thrombocytopenic Idiopathic
2007-05-01,25,False,PA,Purpura Thrombocytopenic Idiopathic
2007-06-01,28,False,PA,Purpura Thrombocytopenic Idiopathic
2007-07-01,50,False,PA,Purpura Thrombocytopenic Idiopathic
2007-08-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2007-09-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2007-10-01,41,False,PA,Purpura Thrombocytopenic Idiopathic
2007-11-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2007-12-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2008-01-01,19,False,PA,Purpura Thrombocytopenic Idiopathic
2008-02-01,20,False,PA,Purpura Thrombocytopenic Idiopathic
2008-03-01,19,False,PA,Purpura Thrombocytopenic Idiopathic
2008-04-01,19,False,PA,Purpura Thrombocytopenic Idiopathic
2008-05-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2008-06-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2008-07-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2008-08-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2008-09-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2008-10-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2008-11-01,38,False,PA,Purpura Thrombocytopenic Idiopathic
2008-12-01,37,False,PA,Purpura Thrombocytopenic Idiopathic
2009-01-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2009-02-01,28,False,PA,Purpura Thrombocytopenic Idiopathic
2009-03-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2009-04-01,44,False,PA,Purpura Thrombocytopenic Idiopathic
2009-05-01,18,False,PA,Purpura Thrombocytopenic Idiopathic
2009-06-01,19,False,PA,Purpura Thrombocytopenic Idiopathic
2009-07-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2009-08-01,19,False,PA,Purpura Thrombocytopenic Idiopathic
2009-09-01,18,False,PA,Purpura Thrombocytopenic Idiopathic
2009-10-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2009-11-01,52,False,PA,Purpura Thrombocytopenic Idiopathic
2009-12-01,52,False,PA,Purpura Thrombocytopenic Idiopathic
2010-01-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2010-02-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2010-03-01,24,False,PA,Purpura Thrombocytopenic Idiopathic
2010-04-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2010-05-01,36,False,PA,Purpura Thrombocytopenic Idiopathic
2010-06-01,19,False,PA,Purpura Thrombocytopenic Idiopathic
2010-07-01,18,False,PA,Purpura Thrombocytopenic Idiopathic
2010-08-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2010-09-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2010-10-01,47,False,PA,Purpura Thrombocytopenic Idiopathic
2010-11-01,46,False,PA,Purpura Thrombocytopenic Idiopathic
2010-12-01,16,False,PA,Purpura Thrombocytopenic Idiopathic
2011-01-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2011-02-01,9,False,PA,Purpura Thrombocytopenic Idiopathic
2011-03-01,9,False,PA,Purpura Thrombocytopenic Idiopathic
2011-04-01,27,False,PA,Purpura Thrombocytopenic Idiopathic
2011-05-01,27,False,PA,Purpura Thrombocytopenic Idiopathic
2011-06-01,19,False,PA,Purpura Thrombocytopenic Idiopathic
2011-07-01,27,False,PA,Purpura Thrombocytopenic Idiopathic
2011-08-01,12,False,PA,Purpura Thrombocytopenic Idiopathic
2011-09-01,16,False,PA,Purpura Thrombocytopenic Idiopathic
2011-10-01,16,False,PA,Purpura Thrombocytopenic Idiopathic
2011-11-01,8,False,PA,Purpura Thrombocytopenic Idiopathic
2011-12-01,8,False,PA,Purpura Thrombocytopenic Idiopathic
2012-01-01,10,False,PA,Purpura Thrombocytopenic Idiopathic
2012-02-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2012-03-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2012-04-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2012-05-01,21,False,PA,Purpura Thrombocytopenic Idiopathic
2012-06-01,8,False,PA,Purpura Thrombocytopenic Idiopathic
2012-07-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2012-08-01,14,False,PA,Purpura Thrombocytopenic Idiopathic
2012-09-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2012-10-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2012-11-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2012-12-01,15,False,PA,Purpura Thrombocytopenic Idiopathic
2013-01-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2013-02-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2013-03-01,14,False,PA,Purpura Thrombocytopenic Idiopathic
2013-04-01,12,False,PA,Purpura Thrombocytopenic Idiopathic
2013-05-01,9,False,PA,Purpura Thrombocytopenic Idiopathic
2013-06-01,26,False,PA,Purpura Thrombocytopenic Idiopathic
2013-07-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2013-08-01,23,False,PA,Purpura Thrombocytopenic Idiopathic
2013-09-01,12,False,PA,Purpura Thrombocytopenic Idiopathic
2013-10-01,11,False,PA,Purpura Thrombocytopenic Idiopathic
2013-11-01,8,False,PA,Purpura Thrombocytopenic Idiopathic
2013-12-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2014-01-01,16,False,PA,Purpura Thrombocytopenic Idiopathic
2014-02-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2014-03-01,5,False,PA,Purpura Thrombocytopenic Idiopathic
2014-04-01,14,False,PA,Purpura Thrombocytopenic Idiopathic
2014-05-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2014-06-01,14,False,PA,Purpura Thrombocytopenic Idiopathic
2014-07-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2014-08-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2014-09-01,10,False,PA,Purpura Thrombocytopenic Idiopathic
2014-10-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2014-11-01,14,False,PA,Purpura Thrombocytopenic Idiopathic
2014-12-01,34,False,PA,Purpura Thrombocytopenic Idiopathic
2015-01-01,10,False,PA,Purpura Thrombocytopenic Idiopathic
2015-02-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2015-03-01,12,False,PA,Purpura Thrombocytopenic Idiopathic
2015-04-01,31,False,PA,Purpura Thrombocytopenic Idiopathic
2015-05-01,5,False,PA,Purpura Thrombocytopenic Idiopathic
2015-06-01,17,False,PA,Purpura Thrombocytopenic Idiopathic
2015-07-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2015-08-01,11,False,PA,Purpura Thrombocytopenic Idiopathic
2015-09-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2015-10-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2015-11-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2015-12-01,19,False,PA,Purpura Thrombocytopenic Idiopathic
2016-01-01,10,False,PA,Purpura Thrombocytopenic Idiopathic
2016-02-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2016-03-01,5,False,PA,Purpura Thrombocytopenic Idiopathic
2016-04-01,9,False,PA,Purpura Thrombocytopenic Idiopathic
2016-05-01,14,False,PA,Purpura Thrombocytopenic Idiopathic
2016-06-01,5,False,PA,Purpura Thrombocytopenic Idiopathic
2016-07-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2016-08-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2016-09-01,10,False,PA,Purpura Thrombocytopenic Idiopathic
2016-10-01,14,False,PA,Purpura Thrombocytopenic Idiopathic
2016-11-01,5,False,PA,Purpura Thrombocytopenic Idiopathic
2016-12-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2017-01-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2017-02-01,9,False,PA,Purpura Thrombocytopenic Idiopathic
2017-03-01,8,False,PA,Purpura Thrombocytopenic Idiopathic
2017-04-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2017-05-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2017-06-01,7,False,PA,Purpura Thrombocytopenic Idiopathic
2017-07-01,5,False,PA,Purpura Thrombocytopenic Idiopathic
2017-08-01,9,False,PA,Purpura Thrombocytopenic Idiopathic
2017-09-01,13,False,PA,Purpura Thrombocytopenic Idiopathic
2017-10-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2017-11-01,6,False,PA,Purpura Thrombocytopenic Idiopathic
2017-12-01,10,False,PA,Purpura Thrombocytopenic Idiopathic
2018-01-01,0,False,PA,Purpura Thrombocytopenic Idiopathic
2018-02-01,4,False,PA,Purpura Thrombocytopenic Idiopathic
2018-03-01,8,False,PA,Purpura Thrombocytopenic Idiopathic
2018-04-01,10,False,PA,Purpura Thrombocytopenic Idiopathic
2018-05-01,8,False,PA,Purpura Thrombocytopenic Idiopathic
2018-06-01,4,False,PA,Purpura Thrombocytopenic Idiopathic
2018-07-01,10,False,PA,Purpura Thrombocytopenic Idiopathic
2018-08-01,8,False,PA,Purpura Thrombocytopenic Idiopathic
2018-09-01,14,True,PA,Purpura Thrombocytopenic Idiopathic
,state,symptom
,state,symptom
,state,symptom
,state,symptom
date,Purpura Thrombocytopenic Idiopathic,isPartial,state,symptom
2004-01-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-02-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-03-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-04-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-05-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-06-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-07-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-08-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-09-01,73,False,TX,Purpura Thrombocytopenic Idiopathic
2004-10-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2004-11-01,41,False,TX,Purpura Thrombocytopenic Idiopathic
2004-12-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2005-01-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2005-02-01,100,False,TX,Purpura Thrombocytopenic Idiopathic
2005-03-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2005-04-01,32,False,TX,Purpura Thrombocytopenic Idiopathic
2005-05-01,29,False,TX,Purpura Thrombocytopenic Idiopathic
2005-06-01,30,False,TX,Purpura Thrombocytopenic Idiopathic
2005-07-01,28,False,TX,Purpura Thrombocytopenic Idiopathic
2005-08-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2005-09-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2005-10-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2005-11-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2005-12-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2006-01-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2006-02-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2006-03-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2006-04-01,20,False,TX,Purpura Thrombocytopenic Idiopathic
2006-05-01,18,False,TX,Purpura Thrombocytopenic Idiopathic
2006-06-01,19,False,TX,Purpura Thrombocytopenic Idiopathic
2006-07-01,19,False,TX,Purpura Thrombocytopenic Idiopathic
2006-08-01,34,False,TX,Purpura Thrombocytopenic Idiopathic
2006-09-01,17,False,TX,Purpura Thrombocytopenic Idiopathic
2006-10-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2006-11-01,16,False,TX,Purpura Thrombocytopenic Idiopathic
2006-12-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2007-01-01,27,False,TX,Purpura Thrombocytopenic Idiopathic
2007-02-01,29,False,TX,Purpura Thrombocytopenic Idiopathic
2007-03-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2007-04-01,13,False,TX,Purpura Thrombocytopenic Idiopathic
2007-05-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2007-06-01,12,False,TX,Purpura Thrombocytopenic Idiopathic
2007-07-01,11,False,TX,Purpura Thrombocytopenic Idiopathic
2007-08-01,11,False,TX,Purpura Thrombocytopenic Idiopathic
2007-09-01,11,False,TX,Purpura Thrombocytopenic Idiopathic
2007-10-01,15,False,TX,Purpura Thrombocytopenic Idiopathic
2007-11-01,10,False,TX,Purpura Thrombocytopenic Idiopathic
2007-12-01,25,False,TX,Purpura Thrombocytopenic Idiopathic
2008-01-01,9,False,TX,Purpura Thrombocytopenic Idiopathic
2008-02-01,9,False,TX,Purpura Thrombocytopenic Idiopathic
2008-03-01,9,False,TX,Purpura Thrombocytopenic Idiopathic
2008-04-01,50,False,TX,Purpura Thrombocytopenic Idiopathic
2008-05-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2008-06-01,13,False,TX,Purpura Thrombocytopenic Idiopathic
2008-07-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2008-08-01,8,False,TX,Purpura Thrombocytopenic Idiopathic
2008-09-01,24,False,TX,Purpura Thrombocytopenic Idiopathic
2008-10-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2008-11-01,24,False,TX,Purpura Thrombocytopenic Idiopathic
2008-12-01,12,False,TX,Purpura Thrombocytopenic Idiopathic
2009-01-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2009-02-01,12,False,TX,Purpura Thrombocytopenic Idiopathic
2009-03-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2009-04-01,14,False,TX,Purpura Thrombocytopenic Idiopathic
2009-05-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2009-06-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2009-07-01,11,False,TX,Purpura Thrombocytopenic Idiopathic
2009-08-01,22,False,TX,Purpura Thrombocytopenic Idiopathic
2009-09-01,21,False,TX,Purpura Thrombocytopenic Idiopathic
2009-10-01,33,False,TX,Purpura Thrombocytopenic Idiopathic
2009-11-01,21,False,TX,Purpura Thrombocytopenic Idiopathic
2009-12-01,14,False,TX,Purpura Thrombocytopenic Idiopathic
2010-01-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2010-02-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2010-03-01,32,False,TX,Purpura Thrombocytopenic Idiopathic
2010-04-01,10,False,TX,Purpura Thrombocytopenic Idiopathic
2010-05-01,14,False,TX,Purpura Thrombocytopenic Idiopathic
2010-06-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2010-07-01,0,False,TX,Purpura Thrombocytopenic Idiopathic
2010-08-01,11,False,TX,Purpura Thrombocytopenic Idiopathic
2010-09-01,16,False,TX,Purpura Thrombocytopenic Idiopathic
2010-10-01,10,False,TX,Purpura Thrombocytopenic Idiopathic
2010-11-01,10,False,TX,Purpura Thrombocytopenic Idiopathic
2010-12-01,5,False,TX,Purpura Thrombocytopenic Idiopathic
2011-01-01,9,False,TX,Purpura Thrombocytopenic Idiopathic
2011-02-01,5,False,TX,Purpura Thrombocytopenic Idiopathic
2011-03-01,13,False,TX,Purpura Thrombocytopenic Idiopathic
2011-04-01,6,False,TX,Purpura Thrombocytopenic Idiopathic
2011-05-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2011-06-01,6,False,TX,Purpura Thrombocytopenic Idiopathic
2011-07-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2011-08-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2011-09-01,3,False,TX,Purpura Thrombocytopenic Idiopathic
2011-10-01,4,False,TX,Purpura Thrombocytopenic Idiopathic
2011-11-01,5,False,TX,Purpura Thrombocytopenic Idiopathic
2011-12-01,12,False,TX,Purpura Thrombocytopenic Idiopathic
2012-01-01,8,False,TX,Purpura Thrombocytopenic Idiopathic
2012-02-01,9,False,TX,Purpura Thrombocytopenic Idiopathic
2012-03-01,6,False,TX,Purpura Thrombocytopenic Idiopathic
2012-04-01,8,False,TX,Purpura Thrombocytopenic Idiopathic
2012-05-01,6,False,TX,Purpura Thrombocytopenic Idiopathic
2012-06-01,6,False,TX,Purpura Thrombocytopenic Idiopathic
2012-07-01,2,False,TX,Purpura Thrombocytopenic Idiopathic
2012-08-01,7,False,TX,Purpura Thrombocytopenic Idiopathic
2012-09-01,6,False,TX,Purpura Thrombocytopenic Idiopathic
2012-10-01,3,False,TX,Purpura Thrombocytopenic Idiopathic
